Chromatogram RI	
X:	Y:
0.00000	-0.008
0.00167	-0.009
0.00333	-0.002
0.00500	-0.001
0.00667	-0.002
0.00833	-0.006
0.01000	-0.012
0.01167	-0.021
0.01333	-0.034
0.01500	-0.047
0.01667	-0.058
0.01833	-0.065
0.02000	-0.072
0.02167	-0.068
0.02333	-0.061
0.02500	-0.057
0.02667	-0.059
0.02833	-0.063
0.03000	-0.068
0.03167	-0.069
0.03333	-0.069
0.03500	-0.073
0.03667	-0.079
0.03833	-0.090
0.04000	-0.097
0.04167	-0.090
0.04333	-0.083
0.04500	-0.080
0.04667	-0.084
0.04833	-0.089
0.05000	-0.096
0.05167	-0.105
0.05333	-0.111
0.05500	-0.115
0.05667	-0.119
0.05833	-0.123
0.06000	-0.125
0.06167	-0.121
0.06333	-0.123
0.06500	-0.121
0.06667	-0.114
0.06833	-0.110
0.07000	-0.111
0.07167	-0.114
0.07333	-0.121
0.07500	-0.128
0.07667	-0.135
0.07833	-0.136
0.08000	-0.133
0.08167	-0.121
0.08333	-0.117
0.08500	-0.117
0.08667	-0.119
0.08833	-0.123
0.09000	-0.121
0.09167	-0.121
0.09333	-0.118
0.09500	-0.119
0.09667	-0.121
0.09833	-0.123
0.10000	-0.117
0.10167	-0.107
0.10333	-0.095
0.10500	-0.089
0.10667	-0.085
0.10833	-0.084
0.11000	-0.086
0.11167	-0.091
0.11333	-0.095
0.11500	-0.097
0.11667	-0.097
0.11833	-0.092
0.12000	-0.084
0.12167	-0.078
0.12333	-0.075
0.12500	-0.071
0.12667	-0.069
0.12833	-0.066
0.13000	-0.070
0.13167	-0.073
0.13333	-0.078
0.13500	-0.083
0.13667	-0.082
0.13833	-0.077
0.14000	-0.065
0.14167	-0.058
0.14333	-0.055
0.14500	-0.053
0.14667	-0.054
0.14833	-0.053
0.15000	-0.052
0.15167	-0.049
0.15333	-0.050
0.15500	-0.052
0.15667	-0.056
0.15833	-0.048
0.16000	-0.038
0.16167	-0.028
0.16333	-0.021
0.16500	-0.015
0.16667	-0.019
0.16833	-0.021
0.17000	-0.021
0.17167	-0.021
0.17333	-0.020
0.17500	-0.019
0.17667	-0.015
0.17833	-0.006
0.18000	0.000
0.18167	0.002
0.18333	0.003
0.18500	0.007
0.18667	0.008
0.18833	0.009
0.19000	0.009
0.19167	0.003
0.19333	-0.003
0.19500	-0.006
0.19667	0.003
0.19833	0.009
0.20000	0.016
0.20167	0.021
0.20333	0.022
0.20500	0.016
0.20667	0.012
0.20833	0.010
0.21000	0.012
0.21167	0.010
0.21333	0.007
0.21500	0.007
0.21667	0.010
0.21833	0.012
0.22000	0.017
0.22167	0.022
0.22333	0.023
0.22500	0.021
0.22667	0.018
0.22833	0.010
0.23000	0.005
0.23167	0.006
0.23333	0.005
0.23500	0.011
0.23667	0.015
0.23833	0.016
0.24000	0.018
0.24167	0.019
0.24333	0.020
0.24500	0.023
0.24667	0.021
0.24833	0.018
0.25000	0.014
0.25167	0.005
0.25333	0.004
0.25500	0.010
0.25667	0.017
0.25833	0.020
0.26000	0.021
0.26167	0.019
0.26333	0.013
0.26500	0.007
0.26667	0.001
0.26833	0.000
0.27000	0.001
0.27167	-0.001
0.27333	0.006
0.27500	0.009
0.27667	0.011
0.27833	0.015
0.28000	0.020
0.28167	0.024
0.28333	0.024
0.28500	0.020
0.28667	0.012
0.28833	0.001
0.29000	-0.003
0.29167	-0.005
0.29333	0.006
0.29500	0.017
0.29667	0.020
0.29833	0.019
0.30000	0.012
0.30167	0.008
0.30333	0.005
0.30500	0.003
0.30667	0.002
0.30833	-0.005
0.31000	-0.009
0.31167	-0.009
0.31333	-0.003
0.31500	0.007
0.31667	0.014
0.31833	0.016
0.32000	0.015
0.32167	0.011
0.32333	0.003
0.32500	-0.004
0.32667	-0.003
0.32833	-0.006
0.33000	-0.012
0.33167	-0.008
0.33333	-0.003
0.33500	-0.001
0.33667	0.005
0.33833	0.012
0.34000	0.017
0.34167	0.015
0.34333	0.009
0.34500	0.001
0.34667	-0.009
0.34833	-0.010
0.35000	-0.004
0.35167	0.005
0.35333	0.010
0.35500	0.011
0.35667	0.007
0.35833	0.001
0.36000	-0.005
0.36167	-0.005
0.36333	-0.003
0.36500	-0.006
0.36667	-0.009
0.36833	-0.015
0.37000	-0.013
0.37167	-0.008
0.37333	-0.002
0.37500	0.004
0.37667	0.005
0.37833	0.000
0.38000	-0.008
0.38167	-0.017
0.38333	-0.022
0.38500	-0.021
0.38667	-0.023
0.38833	-0.021
0.39000	-0.012
0.39167	-0.012
0.39333	-0.017
0.39500	-0.018
0.39667	-0.016
0.39833	-0.015
